Gibbon,Species,Age,Weight,DGC,DO,DB,DNB1,N1O1,,,,,,
Hu,gabriellae,9,6.3,10.519,5.737,4.505,0.811,0.32,,,,,,
Hu,gabriellae,9,6.3,11.622,6.959,4.375,0.704,0.391,,,,,,
Hu,gabriellae,9,6.3,11.106,6.992,3.837,0.768,0.346,,,,,,
Hu,gabriellae,9,6.3,10.251,6.266,3.708,0.683,0.288,,,,,,
Hu,gabriellae,9,6.3,11.76,6.613,4.848,0.747,0.438,,,,,,
Hu,gabriellae,9,6.3,14.076,8.907,4.892,0.642,0.43,,,,,,
Hu,gabriellae,9,6.3,13.3245,9.4845,3.57,0.66,1.328,,,,,,
Hu,gabriellae,9,6.3,11.4987,8.3417,2.869,0.839,1.034,,,,,,
Hu,gabriellae,9,6.3,14.4744,10.4044,3.79,0.77,0.768,,,,,,
Hu,gabriellae,9,6.3,9.791,4.002,5.619,0.683,0.384,,,,,,
Gabi,gabriellae,24,7.5,11.454,6.752,4.403,0.853,0.363,,,,,,
Gabi,gabriellae,24,7.5,10.958,6.187,4.43,0.885,0.459,,,,,,
Gabi,gabriellae,24,7.5,15.03334,9.25834,5.487,0.987,0.373,,,,,,
Gabi,gabriellae,24,7.5,10.802,5.899,4.551,0.874,0.202,,,,,,
Gabi,gabriellae,24,7.5,13.9607,7.9467,5.673,0.983,0.416,,,,,,
Gabi,gabriellae,24,7.5,8.904,4.267,4.307,0.843,0.395,,,,,,
Gabi,gabriellae,24,7.5,12.063,5.824,5.919,1.312,0.459,,,,,,
Gabi,gabriellae,24,7.5,11.101,6.08,4.701,1.001,0.331,,,,,,
Gabi,gabriellae,24,7.5,11.0093,6.2443,4.392,0.832,0.416,,,,,,
Gabi,gabriellae,24,7.5,11.955,6.944,4.734,0.96,0.341,,,,,,
Gabi,gabriellae,24,7.5,13.9047,6.4937,5.449,1.049,0.736,,,,,,
Gabi,gabriellae,24,7.5,8.301,4.566,3.401,0.786,0.384,,,,,,
Gabi,gabriellae,24,7.5,11.47,4.655,6.485,1.067,0.373,,,,,,
Simba,siki,20,7.8,9.025,4.533,4.247,0.517,0.32,,,,,,
Simba,siki,20,7.8,9.417,4.405,4.773,0.614,0.373,,,,,,
Simba,siki,20,7.8,11.614,5.973,5.406,0.661,0.406,,,,,,
Simba,siki,20,7.8,11.276,5.097,5.859,0.704,0.372,,,,,,
Simba,siki,20,7.8,12.9724,7.2174,5.467,0.736,0.736,,,,,,
Simba,siki,20,7.8,9.129,4.854,4.041,0.683,0.288,,,,,,
Simba,siki,20,7.8,12.292,6.011,5.95,0.96,0.426,,,,,,
Simba,siki,20,7.8,9.295,3.243,5.722,0.811,,,,,,,
Simba,siki,20,7.8,13.9362,6.0442,7.615,0.651,0.192,,,,,,
Simba,siki,20,7.8,12.546,6.912,5.357,0.576,0.31,,,,,,
Simba,siki,20,7.8,10.075,4.151,5.679,0.502,0.48,,,,,,
Simba,siki,20,7.8,12.9931,6.7581,5.926,0.523,0.438,,,,,,
Simba,siki,20,7.8,11.103,4.157,6.711,0.576,0.32,,,,,,
Simba,siki,20,7.8,11.567,4.824,6.476,0.704,0.333,,,,,,
Simba,siki,20,7.8,13.1192,6.13142,6.697,0.586,0.357,,,,,,
Simba,siki,20,7.8,14.4689,8.0879,6.135,0.576,0.331,,,,,,
Simba,siki,20,7.8,14.7737,7.0067,7.469,0.768,0.64,,,,,,
Simba,siki,20,7.8,10.4,4.083,6.051,0.694,0.32,,,,,,
Daisy,siki,25,7.1,10.9507,4.5017,6.225,0.661,0.32,,,,,,
Daisy,siki,25,7.1,10.6307,5.3117,5.084,0.661,0.39,,,,,,
Daisy,siki,25,7.1,9.348,3.264,5.886,0.613,0.298,,,,,,
Daisy,siki,25,7.1,8.158,4.259,3.643,0.586,0.257,,,,,,
Daisy,siki,25,7.1,9.157,4.747,4.165,0.512,0.309,,,,,,
Daisy,siki,25,7.1,11.782,6.101,5.446,0.608,0.368,,,,,,
Daisy,siki,25,7.1,11.935,4.813,6.877,0.672,0.363,,,,,,
Daisy,siki,25,7.1,11.612,5.013,6.353,0.618,0.33,,,,,,
Daisy,siki,25,7.1,9.083,4.344,4.504,0.533,0.342,,,,,,
Daisy,siki,25,7.1,8.857,2.725,5.9,0.643,0.298,,,,,,
Daisy,siki,25,7.1,10.0225,4.1045,5.673,0.608,0.309,,,,,,
Daisy,siki,25,7.1,8.56,3.128,5.155,0.79,0.288,,,,,,
Daisy,siki,25,7.1,9.958,5.239,4.484,0.768,0.31,,,,,,
Daisy,siki,25,7.1,9.359,3.178,5.925,0.715,0.313,,,,,,
Daisy,siki,25,7.1,9.361,4.612,4.515,0.587,0.342,,,,,,
Daisy,siki,25,7.1,8.335,3.647,4.416,0.64,0.341,,,,,,
Daisy,siki,25,7.1,10.664,4.483,5.914,0.651,0.361,,,,,,
Daisy,siki,25,7.1,8.64,2.901,5.504,0.693,0.273,,,,,,
Daisy,siki,25,7.1,9.438,3.056,6.147,0.736,0.288,,,,,,
Daisy,siki,25,7.1,9.996,4.587,5.175,0.555,0.32,,,,,,
Daisy,siki,25,7.1,8.364,3.831,4.299,0.523,0.3,,,,,,
Daisy,siki,25,7.1,9.747,4.651,4.861,0.597,0.39,,,,,,
Daisy,siki,25,7.1,10.29,4.864,5.181,0.662,0.371,,,,,,
Daisy,siki,25,7.1,8.196,2.65,5.343,0.608,0.278,,,,,,
Daisy,siki,25,7.1,10.822,4.708,5.858,0.683,0.384,,,,,,
Lo Lem,leucogenys,9,7.6,10.076,2.893,6.799,0.779,0.42,,,,,,
Lo Lem,leucogenys,9,7.6,11.361,3.411,7.534,0.811,1.177,,,,,,
Lo Lem,leucogenys,9,7.6,10.909,2.229,8.264,0.661,0.41,,,,,,
Lo Lem,leucogenys,9,7.6,12.17,0.757,10.936,0.643,,,,,,,
Lo Lem,leucogenys,9,7.6,8.224,2.88,4.95,0.715,0.407,,,,,,
Lo Lem,leucogenys,9,7.6,13.3262,2.5772,10.279,0.736,0.604,,,,,,
Lo Lem,leucogenys,9,7.6,9.605,0.476,8.446,0.725,,,,,,,
